========================================
Epoch 12/15 | Loss: 0.6642 | Acc: 69.00% | Val Loss: 1.0922 | Val Acc: 46.00%
Epoch 13/15 | Loss: 0.5722 | Acc: 75.67% | Val Loss: 1.1399 | Val Acc: 46.00%
Epoch 14/15 | Loss: 0.5328 | Acc: 78.00% | Val Loss: 1.1220 | Val Acc: 49.00%
Epoch 15/15 | Loss: 0.5011 | Acc: 78.00% | Val Loss: 1.1362 | Val Acc: 45.00%
========================================
Epoch  1/15 | Loss: 1.0091 | Acc: 46.00% | Val Loss: 1.1629 | Val Acc: 41.00%
Epoch  2/15 | Loss: 0.9999 | Acc: 46.00% | Val Loss: 1.0680 | Val Acc: 41.00%
Epoch  3/15 | Loss: 0.9746 | Acc: 49.33% | Val Loss: 1.1269 | Val Acc: 41.00%
Epoch  4/15 | Loss: 0.9721 | Acc: 49.33% | Val Loss: 1.0827 | Val Acc: 41.00%
Epoch  5/15 | Loss: 0.9524 | Acc: 49.67% | Val Loss: 1.0663 | Val Acc: 41.00%
Epoch  6/15 | Loss: 0.9291 | Acc: 55.00% | Val Loss: 1.0599 | Val Acc: 47.00%
Epoch  7/15 | Loss: 0.8994 | Acc: 63.67% | Val Loss: 1.1056 | Val Acc: 42.00%
Epoch  8/15 | Loss: 0.8993 | Acc: 56.67% | Val Loss: 1.0435 | Val Acc: 48.00%
Epoch  9/15 | Loss: 0.8285 | Acc: 66.00% | Val Loss: 1.0541 | Val Acc: 53.00%
Epoch 10/15 | Loss: 0.7994 | Acc: 64.67% | Val Loss: 1.0244 | Val Acc: 51.00%
Epoch 11/15 | Loss: 0.7514 | Acc: 67.33% | Val Loss: 1.0752 | Val Acc: 53.00%
Epoch 12/15 | Loss: 0.6750 | Acc: 69.67% | Val Loss: 1.0825 | Val Acc: 45.00%
Epoch 13/15 | Loss: 0.6269 | Acc: 75.33% | Val Loss: 1.0809 | Val Acc: 43.00%
Epoch 14/15 | Loss: 0.5736 | Acc: 77.67% | Val Loss: 1.1573 | Val Acc: 41.00%
Epoch 15/15 | Loss: 0.5188 | Acc: 81.67% | Val Loss: 1.2826 | Val Acc: 39.00%
